A1BG	chr19:58858174-58864865
OCIAD1.3	chr4:48833323-48863833
OCIAD1.4	chr4:48833060-48863833
OCIAD1.5	chr4:48833244-48863833
OCIAD1.6	chr4:48833244-48863833
OCIAD1	chr4:48833060-48863833
OCIAD2.2	chr4:48887407-48908815
OCIAD2	chr4:48887407-48908815
OCLM	chr1:186369704-186370586
OCLN	chr5:68788119-68850130
OCM2	chr7:97614015-97619416
OCM	chr7:5920429-5925993
OCRL.2	chrX:128674252-128726528
OCRL	chrX:128674252-128726528
ODAM	chr4:71062244-71070292
ODC1	chr2:10580508-10588453
ODF1	chr8:103563848-103573245
ODF2.2	chr9:131219287-131257112
ODF2	chr9:131218432-131263238
ODF2L.2	chr1:86814421-86862003
ODF2L	chr1:86814421-86862003
ODF3B	chr22:50968838-50971008
ODF3	chr11:196761-200256
ODF3L1	chr15:76016319-76020027
ODF3L2	chr19:463347-474983
ODF4	chr17:8243188-8249363
ODZ1.2	chrX:123509757-124097666
ODZ1.3	chrX:123509757-124097666
ODZ1	chrX:123509757-124097666
ODZ2	chr5:166711843-167691161
ODZ3	chr4:183245137-183724177
ODZ4	chr11:78364329-79151695
OFD1	chrX:13752832-13787479
OGDH.2	chr7:44646121-44748668
OGDH.3	chr7:44646121-44716194
OGDH	chr7:44646121-44748668
OGDHL.2	chr10:50942688-50970425
OGDHL.3	chr10:50942688-50970425
OGDHL	chr10:50942688-50970425
OGFOD1	chr16:56485424-56511406
OGFOD2	chr12:123459354-123464588
OGFR	chr20:61436177-61445351
OGFRL1	chr6:71998477-72011971
OGG1.2	chr3:9791628-9808352
OGG1.3	chr3:9791628-9808352
OGG1.4	chr3:9791628-9799087
OGG1.5	chr3:9791628-9808352
OGG1.6	chr3:9791628-9808352
OGG1.7	chr3:9791628-9799087
OGG1.8	chr3:9791628-9799087
OGG1	chr3:9791628-9808352
OGN.2	chr9:95146251-95166937
OGN	chr9:95146251-95166937
OGT.2	chrX:70752912-70795747
OGT	chrX:70752912-70795747
OIP5	chr15:41601468-41624819
OIT3	chr10:74653339-74692787
OLA1.2	chr2:174937176-175113365
OLA1	chr2:174937176-175113365
OLAH.2	chr10:15085895-15115851
OLAH	chr10:15085895-15115851
OLFM1.2	chr9:137967103-137989951
OLFM1	chr9:137967089-138013031
OLFM2	chr19:9964395-10047070
OLFM3	chr1:102268127-102462790
OLFM4	chr13:53602972-53626186
OLFML1	chr11:7506755-7532561
OLFML2A	chr9:127539437-127577157
OLFML2B	chr1:161952984-161993644
OLFML3	chr1:114522030-114524875
OLIG1	chr21:34442450-34444727
OLIG2	chr21:34398239-34401500
OLIG3	chr6:137813336-137815531
OLR1	chr12:10310899-10324790
OLT-2	chr19:54573201-54584634
OMA1	chr1:58946392-59012446
OMD	chr9:95176528-95186836
OMG	chr17:29621669-29624380
OMP	chr11:76813886-76814376
ONECUT1	chr15:53049353-53082209
ONECUT2	chr18:55102917-55158529
ONECUT3	chr19:1753662-1775443
OOEP	chr6:74078282-74079515
OPA1.2	chr3:193310933-193415599
OPA1.3	chr3:193310933-193415599
OPA1.4	chr3:193310933-193415599
OPA1.5	chr3:193310933-193415599
OPA1.6	chr3:193310933-193415599
OPA1.7	chr3:193310933-193415599
OPA1.8	chr3:193310933-193415599
OPA1	chr3:193310933-193415599
OPA3.2	chr19:46031027-46088122
OPA3	chr19:46049541-46088122
OPALIN.2	chr10:98102977-98119092
OPALIN.3	chr10:98102977-98119092
OPALIN	chr10:98102977-98119092
OPCML.2	chr11:132284877-132813037
OPCML	chr11:132284877-133402403
OPHN1	chrX:67262188-67653299
OPLAH	chr8:145106167-145115584
OPN1LW	chrX:153409725-153424505
OPN1MW2.2	chrX:153485203-153498753
OPN1MW2	chrX:153448085-153461635
OPN1MW.2	chrX:153485203-153499469
OPN1MW	chrX:153448085-153462351
OPN1SW	chr7:128412545-128415844
OPN3	chr1:241756453-241803701
OPN4.2	chr10:88414314-88426214
OPN4	chr10:88414314-88426214
OPN5.2	chr6:47754862-47794114
OPN5	chr6:47749798-47794114
OPRD1	chr1:29138654-29190208
OPRK1	chr8:54138276-54164194
OPRL1.2	chr20:62711488-62731991
OPRL1	chr20:62711488-62731991
OPRM1.10	chr6:154360443-154428787
OPRM1.11	chr6:154360443-154414655
OPRM1.12	chr6:154360443-154413073
OPRM1.13	chr6:154360443-154568001
OPRM1.2	chr6:154331636-154440594
OPRM1.3	chr6:154360443-154440594
OPRM1.4	chr6:154360546-154430153
OPRM1.5	chr6:154407642-154440594
OPRM1.6	chr6:154360443-154430153
OPRM1.7	chr6:154360443-154431588
OPRM1.8	chr6:154331636-154440594
OPRM1.9	chr6:154360443-154428787
OPRM1	chr6:154331636-154440594
OPTC	chr1:203463271-203478077
OPTN.2	chr10:13142082-13180276
OPTN.3	chr10:13142082-13180276
OPTN.4	chr10:13142082-13180276
OPTN	chr10:13142082-13180276
OR10A2	chr11:6890986-6891897
OR10A3	chr11:7960124-7961067
OR10A4	chr11:6897879-6898825
OR10A5	chr11:6866914-6867867
OR10A6	chr11:7949266-7950209
OR10A7	chr12:55614809-55615758
OR10AD1	chr12:48596122-48597075
OR10AG1	chr11:55735035-55735939
OR10C1	chr6:29407793-29408730
OR10G2	chr14:22102067-22102998
OR10G3	chr14:22037935-22038875
OR10G4	chr11:123886282-123887215
OR10G7	chr11:123908773-123909708
OR10G8	chr11:123900330-123901265
OR10G9	chr11:123893720-123894653
OR10H1	chr19:15917817-15918936
OR10H2	chr19:15838834-15839862
OR10H3	chr19:15852203-15853151
OR10H4	chr19:16059818-16060767
OR10H5	chr19:15904859-15905805
OR10J1	chr1:159409512-159410599
OR10J3	chr1:159283462-159284449
OR10J5	chr1:159504870-159505797
OR10K1	chr1:158435352-158436291
OR10K2	chr1:158389720-158390656
OR10P1	chr12:56030676-56031616
OR10Q1	chr11:57995389-57996347
OR10R2	chr1:158449668-158450674
OR10S1	chr11:123847403-123848398
OR10T2	chr1:158368314-158369256
OR10V1	chr11:59480389-59481318
OR10W1	chr11:58034264-58035732
OR10X1	chr1:158548718-158549689
OR10Z1	chr1:158576229-158577169
OR11A1.8	chr6:29393282-29395509
OR11G2	chr14:20665495-20666530
OR11H12	chr14:19377594-19378572
OR11H1	chr22:16448826-16449804
OR11H4	chr14:20710951-20711924
OR11H6	chr14:20691869-20692860
OR11L1	chr1:248004230-248005198
OR12D2	chr6:29364416-29365447
OR12D3	chr6:29341201-29343068
OR13A1	chr10:45798102-45811056
OR13C2	chr9:107366953-107367908
OR13C3	chr9:107298051-107299094
OR13C4	chr9:107288536-107289490
OR13C5	chr9:107360740-107361694
OR13C8	chr9:107331449-107332410
OR13C9	chr9:107379530-107380485
OR13D1	chr9:107456703-107457742
OR13F1	chr9:107266544-107267501
OR13G1	chr1:247835420-247836343
OR13H1	chrX:130678048-130678973
OR13J1	chr9:35869461-35870398
OR14A16	chr1:247978102-247979031
OR14C36	chr1:248512077-248513013
OR14I1	chr1:248844670-248845605
OR14J1	chr6:29274467-29275431
OR1A1	chr17:3118915-3119842
OR1A2	chr17:3100813-3101742
OR1B1	chr9:125390859-125391814
OR1C1	chr1:247920766-247921708
OR1D2	chr17:2995353-2996290
OR1D4	chr17:2965964-2966955
OR1D5	chr17:2965964-2966901
OR1E1	chr17:3300760-3301704
OR1E2	chr17:3336165-3337135
OR1F1	chr16:3254247-3255184
OR1F2P	chr16:3265562-3266544
OR1G1	chr17:3029904-3030845
OR1I1	chr19:15197877-15198942
OR1J1	chr9:125239238-125240205
OR1J2	chr9:125273081-125274021
OR1J4	chr9:125281420-125282360
OR1K1	chr9:125562402-125563351
OR1L1	chr9:125423995-125424925
OR1L3	chr9:125437409-125438382
OR1L4	chr9:125486269-125487204
OR1L6	chr9:125512127-125513060
OR1L8	chr9:125329827-125330756
OR1M1	chr19:9203921-9204861
OR1N1	chr9:125288637-125289572
OR1N2	chr9:125315449-125316440
OR1Q1	chr9:125377017-125377959
OR1S1	chr11:57982217-57983193
OR1S2	chr11:57970677-57971653
OR2A12	chr7:143792201-143793132
OR2A1.2	chr7:144015218-144016148
OR2A14	chr7:143826206-143827137
OR2A1	chr7:143929006-143929936
OR2A20P.2	chr7:143996466-143997395
OR2A20P	chr7:143947767-143948696
OR2A25	chr7:143771313-143772244
OR2A2	chr7:143806676-143807630
OR2A42.2	chr7:144015236-144016148
OR2A42	chr7:143929006-143929918
OR2A4	chr6:132021610-132022541
OR2A5	chr7:143747495-143748429
OR2A7	chr7:143955790-143956721
OR2A9P.2	chr7:143947564-143948548
OR2A9P	chr7:143996614-143997598
OR2AE1	chr7:99473685-99474656
OR2AG1	chr11:6806269-6807219
OR2AG2	chr11:6789238-6790188
OR2AK2	chr1:248128634-248129640
OR2AT4	chr11:74799797-74800758
OR2B11	chr1:247614332-247615284
OR2B2	chr6:27879025-27880097
OR2B3.6	chr6:29053986-29055090
OR2B6	chr6:27925019-27925958
OR2C1	chr16:3405889-3406924
OR2C3	chr1:247693435-247697141
OR2D2	chr11:6912806-6913731
OR2D3	chr11:6942233-6943224
OR2F1	chr7:143657020-143658108
OR2F2	chr7:143632326-143633278
OR2G2	chr1:247751662-247752614
OR2G3	chr1:247768888-247769816
OR2G6	chr1:248684948-248685898
OR2H1	chr6:29426230-29432097
OR2H2	chr6:29555683-29556745
OR2J2	chr6:29141311-29142350
OR2J3	chr6:29079668-29080602
OR2K2	chr9:114089764-114090713
OR2L13	chr1:248100493-248264223
OR2L1P	chr1:248153569-248154493
OR2L2	chr1:248201474-248202606
OR2L3	chr1:248223984-248224922
OR2L8	chr1:248112160-248113098
OR2M1P	chr1:248285438-248286082
OR2M2	chr1:248343288-248344329
OR2M3	chr1:248366370-248367307
OR2M4	chr1:248402231-248403165
OR2M5	chr1:248308450-248309387
OR2M7	chr1:248486933-248487870
OR2S2	chr9:35957106-35958151
OR2T10	chr1:248756132-248757069
OR2T11	chr1:248789479-248790429
OR2T12	chr1:248457919-248458880
OR2T1	chr1:248569296-248570404
OR2T27	chr1:248813233-248814185
OR2T29	chr1:248721845-248722774
OR2T2	chr1:248616099-248617073
OR2T33	chr1:248436155-248437116
OR2T34	chr1:248737102-248738058
OR2T35	chr1:248801588-248802559
OR2T3	chr1:248636652-248637608
OR2T4	chr1:248524883-248525929
OR2T5	chr1:248651890-248652837
OR2T6	chr1:248550910-248551836
OR2T8	chr1:248084320-248085256
OR2V2	chr5:180581943-180582889
OR2W1	chr6:29011990-29012952
OR2W3	chr1:248058889-248059831
OR2W5	chr1:247654430-247655392
OR2Y1	chr5:180166123-180167058
OR2Z1	chr19:8841391-8842334
OR3A1	chr17:3194929-3195876
OR3A2	chr17:3181185-3182268
OR3A3	chr17:3323862-3324826
OR3A4	chr17:3213539-3214740
OR4A15	chr11:55135360-55136393
OR4A16	chr11:55110677-55111661
OR4A47	chr11:48510345-48511272
OR4A5	chr11:51411448-51412395
OR4B1	chr11:48238362-48239290
OR4C11	chr11:55370919-55371849
OR4C12	chr11:50003110-50004037
OR4C13	chr11:49973975-49974902
OR4C15	chr11:55321783-55322893
OR4C16	chr11:55339604-55340534
OR4C3	chr11:48346493-48347480
OR4C45	chr11:48366902-48373999
OR4C46	chr11:51515282-51516209
OR4C6	chr11:55432643-55433570
OR4D10	chr11:59244903-59245838
OR4D11	chr11:59271049-59271984
OR4D1	chr17:56232515-56233445
OR4D2	chr17:56247017-56247939
OR4D5	chr11:123810324-123811280
OR4D6	chr11:59224434-59225377
OR4D9	chr11:59282386-59283328
OR4E2	chr14:22133297-22134236
OR4F15	chr15:102358390-102359326
OR4F16.2	chr1:621098-622034
OR4F16.3	chr5:180794288-180795224
OR4F16	chr1:367659-368595
OR4F17	chr19:110679-111596
OR4F21	chr8:116088-117024
OR4F29.2	chr1:621098-622034
OR4F29.3	chr5:180794288-180795224
OR4F29	chr1:367659-368595
OR4F3.2	chr1:621098-622034
OR4F3.3	chr5:180794288-180795224
OR4F3	chr1:367659-368595
OR4F4	chr15:102462345-102463262
OR4F5	chr1:69091-70008
OR4F6	chr15:102345923-102346859
OR4K13	chr14:20502005-20502917
OR4K14	chr14:20482421-20483352
OR4K15	chr14:20443678-20444722
OR4K17	chr14:20585566-20586597
OR4K1	chr14:20403826-20404761
OR4K2	chr14:20344427-20345371
OR4K5	chr14:20388766-20389735
OR4L1	chr14:20528204-20529142
OR4M1	chr14:20248482-20249422
OR4M2	chr15:22368576-22369516
OR4N2	chr14:20295608-20296530
OR4N3P	chr15:22413462-22414393
OR4N4	chr15:22382473-22383422
OR4N5	chr14:20611895-20612820
OR4P4	chr11:55405834-55406771
OR4Q3	chr14:20215587-20216526
OR4S1	chr11:48327775-48328703
OR4S2	chr11:55418380-55419315
OR4X1	chr11:48285413-48286329
OR4X2	chr11:48266656-48267567
OR51A2	chr11:4976004-4976943
OR51A4	chr11:4967391-4968330
OR51A7	chr11:4928600-4929536
OR51B2	chr11:5344528-5345582
OR51B4	chr11:5322245-5323176
OR51B5	chr11:5363816-5364754
OR51B6	chr11:5372738-5373675
OR51D1	chr11:4661021-4661994
OR51E1	chr11:4665156-4676714
OR51E2	chr11:4701401-4719076
OR51F1	chr11:4790210-4791147
OR51F2	chr11:4842616-4843642
OR51G1	chr11:4944606-4945569
OR51G2	chr11:4935949-4936893
OR51I1	chr11:5461801-5462744
OR51I2	chr11:5474719-5475656
OR51L1	chr11:5020213-5021158
OR51M1	chr11:5410629-5411608
OR51Q1	chr11:5443431-5444383
OR51S1	chr11:4869468-4870438
OR51T1	chr11:4903049-4904112
OR51V1	chr11:5220966-5221930
OR52A1	chr11:5172663-5173599
OR52A4	chr11:5141894-5142808
OR52A5	chr11:5152923-5153872
OR52B2	chr11:6190586-6191556
OR52B4	chr11:4388583-4389525
OR52B6	chr11:5602107-5603112
OR52D1	chr11:5509937-5510892
OR52E2	chr11:5079881-5080857
OR52E4	chr11:5905523-5906459
OR52E6	chr11:5862188-5863127
OR52E8	chr11:5877981-5878932
OR52H1	chr11:5565792-5566753
OR52I1	chr11:4615269-4616242
OR52I2	chr11:4608043-4609094
OR52J3	chr11:5067756-5068682
OR52K1	chr11:4510131-4511075
OR52K2	chr11:4470570-4471514
OR52L1	chr11:6007122-6008215
OR52M1	chr11:4566421-4567373
OR52N1	chr11:5809085-5810046
OR52N2	chr11:5841566-5842530
OR52N4	chr11:5775923-5776958
OR52N5	chr11:5798891-5799864
OR52R1	chr11:4824664-4825847
OR52W1	chr11:6220454-6221414
OR56A1	chr11:6047979-6048934
OR56A3	chr11:5968577-5969522
OR56A4	chr11:6023283-6024378
OR56A5	chr11:5988785-5989724
OR56B1	chr11:5757747-5758721
OR56B4	chr11:6129009-6129966
OR5A1	chr11:59210642-59211589
OR5A2	chr11:59189454-59190426
OR5AC2	chr3:97806017-97806944
OR5AK2	chr11:56756389-56757316
OR5AN1	chr11:59131932-59132866
OR5AP2	chr11:56408965-56409915
OR5AR1	chr11:56431162-56432092
OR5AS1	chr11:55797895-55798867
OR5AU1	chr14:21623097-21624184
OR5B12	chr11:58206682-58207624
OR5B17	chr11:58125600-58126542
OR5B21	chr11:58274651-58275578
OR5B2	chr11:58189807-58190734
OR5B3	chr11:58169940-58170882
OR5C1	chr9:125551212-125552173
OR5D13	chr11:55540914-55541857
OR5D14	chr11:55563032-55563975
OR5D16	chr11:55606228-55607212
OR5D18	chr11:55587106-55588046
OR5E1P	chr11:7870598-7871117
OR5F1	chr11:55761158-55762101
OR5H14	chr3:97868230-97869162
OR5H15	chr3:97887544-97888483
OR5H1	chr3:97851542-97852481
OR5H2	chr3:98001732-98002676
OR5H6	chr3:97983129-97984106
OR5I1	chr11:55702933-55703876
OR5J2	chr11:55944094-55945030
OR5K1	chr3:98188421-98189371
OR5K2	chr3:98216525-98217474
OR5K3	chr3:98109510-98110474
OR5K4	chr3:98072698-98073661
OR5L1	chr11:55578943-55579878
OR5L2	chr11:55594695-55595630
OR5M10	chr11:56344250-56345197
OR5M11	chr11:56309817-56310733
OR5M1	chr11:56380031-56380978
OR5M3	chr11:56237052-56237973
OR5M8	chr11:56257911-56258846
OR5M9	chr11:56229947-56230877
OR5P2	chr11:7817521-7818489
OR5P3	chr11:7846585-7847519
OR5R1	chr11:56184736-56185708
OR5T1	chr11:56043115-56044095
OR5T2	chr11:55999587-56000661
OR5T3	chr11:56019676-56020697
OR5V1	chr6:29323008-29324054
OR5W2	chr11:55681128-55682058
OR6A2	chr11:6815756-6817139
OR6B1	chr7:143701090-143702025
OR6B2	chr2:240968910-240969846
OR6B3	chr2:240984495-240985489
OR6C1	chr12:55714384-55715321
OR6C2	chr12:55845998-55846936
OR6C3	chr12:55725485-55726419
OR6C4	chr12:55945011-55945938
OR6C65	chr12:55794313-55795249
OR6C68	chr12:55886147-55887098
OR6C6	chr12:55688074-55689016
OR6C70	chr12:55862986-55863922
OR6C74	chr12:55641072-55642009
OR6C75	chr12:55758895-55759832
OR6C76	chr12:55820038-55820975
OR6F1	chr1:247875131-247876057
OR6K2	chr1:158669468-158670442
OR6K3	chr1:158686960-158687953
OR6K6	chr1:158724606-158725637
OR6M1	chr11:123676117-123677057
OR6N1	chr1:158735535-158736472
OR6N2	chr1:158746473-158747425
OR6P1	chr1:158532442-158533394
OR6Q1	chr11:57798425-57799377
OR6S1	chr14:21108855-21109850
OR6T1	chr11:123813575-123814545
OR6V1	chr7:142749438-142750378
OR6W1P	chr7:142759381-142760882
OR6X1	chr11:123624290-123625226
OR6Y1	chr1:158516920-158517895
OR7A10	chr19:14951760-14952689
OR7A17	chr19:14991240-14992167
OR7A5	chr19:14937140-14939276
OR7C1	chr19:14909988-14910948
OR7C2	chr19:15052301-15053259
OR7D2	chr19:9296270-9299493
OR7D4	chr19:9324575-9325513
OR7E156P	chr13:64311568-64316701
OR7E24	chr19:9361720-9362739
OR7E37P.2	chr13:42017060-42017723
OR7E37P	chr13:42005476-42006140
OR7E5P	chr11:55746179-55753881
OR7E91P	chr2:71251205-71257058
OR7G1	chr19:9225274-9226439
OR7G2	chr19:9212947-9213982
OR7G3	chr19:9236689-9237626
OR8A1	chr11:124439965-124440944
OR8B12	chr11:124412620-124413550
OR8B2	chr11:124252299-124253239
OR8B3	chr11:124266308-124267247
OR8B4	chr11:124293840-124294767
OR8B8	chr11:124310047-124310981
OR8D1	chr11:124179737-124180662
OR8D2	chr11:124189159-124190093
OR8D4	chr11:123777139-123778081
OR8G1	chr11:124120423-124135756
OR8G2	chr11:124095398-124096310
OR8G5	chr11:124134723-124135762
OR8H1	chr11:56057605-56058538
OR8H2	chr11:55872519-55873455
OR8H3	chr11:55889849-55890787
OR8I2	chr11:55860784-55861715
OR8J1	chr11:56127723-56128671
OR8J3	chr11:55904249-55905194
OR8K1	chr11:56113515-56114472
OR8K3	chr11:56085783-56086719
OR8K5	chr11:55926871-55927793
OR8S1	chr12:48919415-48921885
OR8U1	chr11:56143100-56144029
OR8U8	chr11:56143100-56508560
OR9A2	chr7:142723287-142724219
OR9A4	chr7:141618676-141619620
OR9G1	chr11:56467864-56468779
OR9G4	chr11:56510305-56511287
OR9G9	chr11:56467864-56468779
OR9I1	chr11:57885972-57886916
OR9K2	chr12:55523553-55524559
OR9Q1	chr11:57791353-57949036
OR9Q2	chr11:57957963-57958905
ORAI1	chr12:122064455-122079946
ORAI2.2	chr7:102073996-102097268
ORAI2	chr7:102073996-102097268
ORAI3	chr16:30960405-30966258
ORAOV1	chr11:69480334-69490165
ORC1L	chr1:52838502-52870131
ORC2L	chr2:201774895-201828410
ORC3L.2	chr6:88299843-88377166
ORC3L	chr6:88299843-88377166
ORC4L.2	chr2:148691733-148778319
ORC4L.3	chr2:148691733-148778319
ORC4L	chr2:148691733-148779136
ORC5L.2	chr7:103808625-103848463
ORC5L	chr7:103766790-103848463
ORC6L	chr16:46723558-46732305
ORM1	chr9:117085303-117088757
ORM2	chr9:117092069-117095534
ORMDL1.2	chr2:190634994-190649097
ORMDL1	chr2:190634994-190649097
ORMDL2	chr12:56211806-56214959
ORMDL3	chr17:38077296-38083854
OS9.2	chr12:58087738-58115338
OS9.3	chr12:58087738-58115338
OS9.4	chr12:58087738-58115338
OS9	chr12:58087738-58115338
OSBP2	chr22:31090793-31303811
OSBP	chr11:59341871-59383617
OSBPL10	chr3:31702318-32023238
OSBPL11	chr3:125247708-125314381
OSBPL1A.2	chr18:21742013-21852196
OSBPL1A	chr18:21742013-21977790
OSBPL2.2	chr20:60813580-60871269
OSBPL2	chr20:60813580-60871269
OSBPL3.2	chr7:24836165-25019760
OSBPL3.3	chr7:24836165-25019760
OSBPL3.4	chr7:24836165-25019760
OSBPL3	chr7:24836165-25019760
OSBPL5.2	chr11:3108346-3186582
OSBPL5.3	chr11:3108346-3186582
OSBPL5	chr11:3108346-3186582
OSBPL6.2	chr2:179059374-179260873
OSBPL6	chr2:179184971-179260873
OSBPL7	chr17:45884733-45899147
OSBPL8.2	chr12:76745578-76953589
OSBPL8	chr12:76745578-76953589
OSBPL9.2	chr1:52195493-52254136
OSBPL9.3	chr1:52082764-52254136
OSBPL9.4	chr1:52195493-52254136
OSBPL9.5	chr1:52082764-52254136
OSBPL9.6	chr1:52195523-52254136
OSBPL9.7	chr1:52082764-52254136
OSBPL9	chr1:52082764-52254136
OSCAR.2	chr19:54597935-54604148
OSCAR.3	chr19:54597935-54604148
OSCAR.4	chr19:54597935-54604148
OSCAR	chr19:54597935-54604148
OSCP1.2	chr1:36883508-36916086
OSCP1	chr1:36893903-36916086
OSGEP	chr14:20915217-20923198
OSGEPL1	chr2:190611386-190627924
OSGIN1.2	chr16:83982672-83999938
OSGIN1.3	chr16:83986827-83999938
OSGIN1	chr16:83982672-83999938
OSGIN2.2	chr8:90914096-90940093
OSGIN2	chr8:90914762-90940093
OSM	chr22:30658821-30662840
OSMR.2	chr5:38846101-38935742
OSMR	chr5:38845960-38886758
OSR1	chr2:19551247-19558372
OSR2.2	chr8:99956631-99964324
OSR2	chr8:99956631-99964324
OSTalpha	chr3:195943383-195960299
OSTBETA	chr15:65337708-65345734
OSTC	chr4:109571741-109588980
OSTCL	chr6:159262160-159278664
OSTF1	chr9:77703398-77762113
OSTM1	chr6:108362615-108395941
OSTN	chr3:190930322-190967908
OTC	chrX:38211736-38280702
OTOA.2	chr16:21695750-21772049
OTOA.3	chr16:21716284-21772049
OTOA	chr16:21689835-21772049
OTOF.2	chr2:26680072-26700910
OTOF.3	chr2:26680072-26700910
OTOF.4	chr2:26680072-26781566
OTOF	chr2:26680072-26700910
OTOL1	chr3:161214596-161221728
OTOP1	chr4:4190530-4228621
OTOP2	chr17:72920370-72929639
OTOP3	chr17:72931897-72945510
OTOR	chr20:16729003-16732808
OTOS	chr2:241078447-241080073
OTP	chr5:76924538-76934522
OTUB1.2	chr11:63753325-63765892
OTUB1	chr11:63753325-63765892
OTUB2	chr14:94492724-94515274
OTUD1	chr10:23728198-23731308
OTUD3	chr1:20208888-20239429
OTUD4.2	chr4:146054803-146100832
OTUD4.3	chr4:146080290-146100832
OTUD4	chr4:146054803-146100832
OTUD5.2	chrX:48779305-48814893
OTUD5.3	chrX:48779305-48814893
OTUD5.4	chrX:48779305-48814893
OTUD5	chrX:48779305-48815648
OTUD6A	chrX:69282341-69284029
OTUD6B	chr8:92082424-92099322
OTUD7A	chr15:31775330-31947542
OTUD7B	chr1:149912233-149982686
OTX1	chr2:63277965-63284303
OTX2.2	chr14:57267427-57277184
OTX2	chr14:57267427-57272345
OTX2OS1	chr14:57279901-57397548
OVCA2	chr17:1945277-1946724
OVCH1	chr12:29580489-29650619
OVCH2	chr11:7712445-7727941
OVGP1	chr1:111956938-111970399
OVOL1	chr11:65554529-65564683
OVOL2	chr20:18004796-18038521
OXA1L	chr14:23235731-23240998
OXCT1	chr5:41730168-41870791
OXCT2	chr1:40235197-40237020
OXER1	chr2:42989641-42991401
OXGR1	chr13:97637973-97646604
OXNAD1	chr3:16306714-16347593
OXR1.2	chr8:107670036-107764917
OXR1	chr8:107282473-107764917
OXSM.2	chr3:25831563-25836024
OXSM.3	chr3:25831563-25836024
OXSM	chr3:25831563-25836024
OXSR1	chr3:38207026-38296978
OXT	chr20:3052266-3053162
OXTR	chr3:8792097-8811300
P11	chr12:48103528-48119350
P2RX1	chr17:3799889-3819960
P2RX2.2	chr12:133195403-133198972
P2RX2.3	chr12:133195403-133198972
P2RX2.4	chr12:133195403-133198972
P2RX2.5	chr12:133195403-133198972
P2RX2.6	chr12:133195403-133198972
P2RX2	chr12:133195403-133198972
P2RX3	chr11:57105949-57137548
P2RX4	chr12:121647664-121671907
P2RX5.2	chr17:3593580-3599583
P2RX5.3	chr17:3576524-3599583
P2RX5	chr17:3576524-3599583
P2RX6.2	chr22:21369442-21382302
P2RX6	chr22:21369464-21382302
P2RX6P	chr22:21396681-21398538
P2RX7	chr12:121570678-121623856
P2RY10.2	chrX:78200829-78217437
P2RY10	chrX:78200829-78217437
P2RY11	chr19:10222197-10226062
P2RY12.2	chr3:151055376-151102544
P2RY12	chr3:151055376-151058585
P2RY13	chr3:151044096-151047337
P2RY14.2	chr3:150929905-150966998
P2RY14	chr3:150929905-150996230
P2RY1	chr3:152552736-152555841
P2RY2.2	chr11:72929344-72947393
P2RY2.3	chr11:72929344-72947393
P2RY2	chr11:72929502-72947393
P2RY4	chrX:69478016-69479654
P2RY6.2	chr11:72975570-73008849
P2RY6.3	chr11:72983247-73009656
P2RY6.4	chr11:72975570-73008849
P2RY6	chr11:72980939-73008849
P2RY8.2	chrY:1531466-1606037
P2RY8	chrX:1581466-1656037
P4HA1.2	chr10:74766982-74856732
P4HA1.3	chr10:74766982-74856732
P4HA1.4	chr10:74766982-74856732
P4HA1	chr10:74766982-74856732
P4HA2.2	chr5:131528306-131562935
P4HA2.3	chr5:131528306-131563556
P4HA2.4	chr5:131528306-131563556
P4HA2.5	chr5:131528306-131562935
P4HA2	chr5:131528306-131563556
P4HA3	chr11:73977703-74022699
P4HB	chr17:79801034-79818544
P4HTM.2	chr3:49027341-49044579
P4HTM	chr3:49027341-49044579
P704P	chr14:19983954-20020272
PA2G4	chr12:56498103-56507693
PA2G4P4	chr3:156527060-156529810
PAAF1	chr11:73588033-73638779
PABPC1	chr8:101715144-101734315
PABPC1L2A	chrX:72297177-72299351
PABPC1L2B	chrX:72223352-72225550
PABPC1L	chr20:43538703-43567962
PABPC3	chr13:25670276-25672702
PABPC4.2	chr1:40026485-40042521
PABPC4.3	chr1:40026485-40042521
PABPC4	chr1:40026485-40042521
PABPC4L	chr4:135117491-135122903
PABPC5	chrX:90689597-90693582
PABPCP2	chr2:147344625-147348557
PABPN1	chr14:23789397-23795367
PACRG.2	chr6:163149002-163736523
PACRG.3	chr6:163148164-163736523
PACRG	chr6:163148164-163736523
PACRGL.2	chr4:20702036-20729979
PACRGL	chr4:20702036-20729979
PACS1	chr11:65837824-66012213
PACS2.2	chr14:105781081-105864484
PACS2	chr14:105781081-105864484
PACSIN1	chr6:34433905-34502998
PACSIN2	chr22:43266939-43343047
PACSIN3	chr11:47199085-47207958
PADI1	chr1:17531621-17572501
PADI2	chr1:17393257-17445948
PADI3	chr1:17575593-17610725
PADI4	chr1:17634690-17690495
PADI6	chr1:17698741-17728195
PAEP.2	chr9:138453604-138458622
PAEP	chr9:138453604-138458622
PAF1	chr19:39876272-39881679
PAFAH1B1	chr17:2496923-2588908
PAFAH1B2	chr11:117015040-117038814
PAFAH1B3.2	chr19:42801185-42806929
PAFAH1B3.3	chr19:42801185-42806796
PAFAH1B3	chr19:42801185-42806952
PAFAH2	chr1:26286260-26324648
PAG1	chr8:81880048-82024303
PAGE1	chrX:49452056-49460596
PAGE2B	chrX:55101504-55105334
PAGE2	chrX:55115497-55119260
PAGE3	chrX:55284851-55291279
PAGE4	chrX:49593906-49598570
